_id,age,sex,email,w0,w1,w2,w3,w4
501,30,1,501,drum,lush,trashy,scorch,damaged
502,43,4,502,spectacular,expand,animal,pickle,burn
503,45,2,503,condition,somber,cow,farm,force
504,25,0,504,jagged,placid,explode,friend,prose
505,31,0,505,corn,beam,historical,anxious,children
506,34,1,506,sleet,messy,fall,miniature,shocking
507,23,2,507,heavy,kettle,mammoth,rub,peep
508,37,2,508,wash,succinct,bit,doll,watch
509,57,2,509,yoke,detailed,exciting,announce,tree
510,56,1,510,seed,macabre,like,desire,exist
511,35,3,511,coil,ban,macho,busy,trick
512,41,1,512,twist,hungry,easy,wiry,modern
513,39,3,513,stain,chance,oafish,handsome,diligent
514,27,3,514,brawny,preach,knot,ocean,flood
515,57,2,515,venomous,refuse,ad hoc,flash,pot
516,43,3,516,curious,crowd,risk,observation,nondescript
517,47,4,517,spring,tearful,heavy,fumbling,sense
518,23,2,518,hurried,fretful,trouble,punch,lewd
519,53,4,519,stew,ice,hissing,unfasten,glove
520,39,4,520,soft,highfalutin,stay,premium,thank
521,30,2,521,motionless,versed,bump,sour,exercise
522,52,0,522,thaw,animated,improve,day,amount
523,47,3,523,madly,desert,buzz,repulsive,trail
524,37,2,524,stir,launch,launch,drag,flight
525,35,1,525,spring,minor,water,bruise,achiever
526,54,2,526,violent,cheer,treat,sophisticated,mother
527,41,4,527,gold,able,hurt,face,squirrel
528,58,3,528,melt,elfin,march,kindhearted,time
529,42,1,529,admit,neighborly,wonderful,health,object
530,32,4,530,care,exchange,trick,educate,discovery
531,41,2,531,towering,elderly,high,end,lettuce
532,53,1,532,board,paper,enter,oceanic,serve
533,53,1,533,duck,acoustics,afterthought,lake,nest
534,25,0,534,important,tin,small,untidy,war
535,35,3,535,mushy,experience,ground,anger,tooth
536,35,1,536,voiceless,cherry,defeated,selection,repair
537,51,0,537,rock,scold,crime,fair,hands
538,45,1,538,last,earth,mom,butter,smash
539,58,4,539,friend,hate,clammy,connect,vulgar
540,38,0,540,ship,suppose,lettuce,vacuous,friends
541,59,3,541,adaptable,enormous,note,responsible,conscious
542,43,3,542,staking,trace,reign,bat,dangerous
543,56,0,543,fix,cemetery,mammoth,tall,shade
544,24,0,544,behave,education,rush,digestion,pipe
545,49,2,545,even,abounding,bulb,anxious,bridge
546,20,0,546,hammer,curl,compare,purpose,ice
547,30,3,547,jewel,incandescent,squash,request,miss
548,28,4,548,ad hoc,low,tooth,gabby,berry
549,42,3,549,riddle,defective,blind,last,absent
550,52,1,550,suppose,short,disagree,illegal,husky
551,22,1,551,spectacular,drawer,point,stomach,imminent
552,41,2,552,toad,calculating,equal,berry,hand
553,40,3,553,guttural,basin,include,miscreant,trousers
554,27,4,554,test,touch,dance,way,shut
555,53,0,555,mysterious,daffy,marble,iron,pig
556,45,1,556,grease,suit,discover,place,sordid
557,58,1,557,industry,prickly,walk,near,spicy
558,20,3,558,cute,tease,whistle,develop,team
559,40,2,559,meddle,shelf,bake,childlike,start
560,35,4,560,crook,cent,petite,odd,suspend
561,55,0,561,belong,satisfy,crazy,rate,meat
562,38,3,562,cakes,lopsided,chop,act,fuel
563,32,4,563,elated,size,screw,smile,apologise
564,45,3,564,admire,didactic,spiky,lettuce,gamy
565,47,0,565,organic,unhealthy,toes,hot,magical
566,35,2,566,impossible,shelf,damage,muddled,encourage
567,52,0,567,tearful,hour,boiling,glue,door
568,37,1,568,garrulous,trouble,invention,null,number
569,52,4,569,windy,ducks,slip,tightfisted,point
570,30,1,570,amusement,sheet,successful,roll,digestion
571,22,3,571,outrageous,behavior,snow,smelly,grey
572,20,4,572,fragile,cute,discovery,nod,mine
573,39,3,573,mess up,crow,muddle,apologise,incredible
574,24,3,574,geese,magic,jam,approval,exclusive
575,33,1,575,smell,rat,polite,dusty,massive
576,36,4,576,juvenile,ground,office,second,aunt
577,34,0,577,overrated,spark,automatic,fantastic,remain
578,37,0,578,pizzas,flagrant,lazy,distance,blot
579,46,4,579,elastic,force,bucket,border,stone
580,30,4,580,boast,squalid,tested,aware,pinch
581,52,4,581,economic,kindhearted,stale,push,boiling
582,53,2,582,nation,shock,belligerent,square,macho
583,20,2,583,separate,belligerent,button,search,nonchalant
584,58,4,584,cabbage,reject,fail,gaze,jail
585,20,4,585,preserve,scream,remain,messy,incredible
586,27,1,586,shade,heap,low,toe,wink
587,49,1,587,thing,reject,nine,bait,utopian
588,34,1,588,grab,bitter,pocket,embarrassed,chunky
589,21,1,589,vest,fluttering,peel,abhorrent,sleet
590,50,2,590,daffy,listen,decide,picayune,imminent
591,57,2,591,cannon,spiteful,form,statuesque,jam
592,27,3,592,disagree,dramatic,owe,theory,nest
593,41,0,593,handsome,deserted,bite,aware,trace
594,56,4,594,uppity,untidy,babies,anger,cowardly
595,40,4,595,axiomatic,salt,crabby,plain,mysterious
596,60,4,596,support,voracious,noxious,groan,ocean
597,42,2,597,force,hunt,vulgar,ill-fated,juice
598,33,0,598,trucks,resolute,mature,exuberant,giraffe
599,35,2,599,balance,rub,snow,train,grubby
600,26,4,600,loaf,bath,club,mixed,chubby
601,54,3,601,identify,dad,outgoing,coal,idea
602,59,2,602,acrid,blush,secretary,earth,thinkable
603,56,2,603,teeny,prefer,worried,auspicious,crack
604,25,4,604,stem,guarantee,use,launch,month
605,51,2,605,abashed,afraid,wry,unwieldy,army
606,26,3,606,glamorous,kindly,flower,excite,vest
607,26,3,607,legal,sponge,carve,look,smelly
608,43,4,608,run,smelly,cub,marked,reminiscent
609,20,3,609,knit,mix,knit,worried,squash
610,32,2,610,lamentable,awesome,grade,adorable,bawdy
611,52,4,611,harmonious,creepy,food,liquid,plant
612,51,3,612,turn,great,suck,womanly,simple
613,54,3,613,belong,stage,retire,slip,reply
614,33,2,614,mask,tow,entertain,ground,horse
615,48,2,615,title,board,flowery,stomach,cynical
616,54,0,616,open,sense,balance,keen,battle
617,26,0,617,snobbish,dusty,optimal,shelf,end
618,49,3,618,free,money,dangerous,successful,dry
619,46,3,619,hum,burly,innocent,tow,shame
620,48,3,620,gigantic,mend,sisters,excited,overrated
621,38,0,621,smile,bashful,agreement,whisper,guide
622,56,4,622,hum,care,square,dock,peace
623,37,0,623,expect,command,intend,fish,fasten
624,53,3,624,condition,aftermath,furry,magic,industry
625,60,0,625,trade,blink,terrible,invention,boiling
626,25,4,626,yoke,familiar,cover,year,star
627,52,3,627,curl,worry,limit,admire,holistic
628,37,3,628,lie,zipper,paint,window,kneel
629,49,4,629,communicate,spurious,lean,distance,dream
630,59,2,630,sleet,tender,scrub,dress,desk
631,31,1,631,vulgar,hot,uncle,cloudy,destruction
632,38,2,632,rabbits,excuse,absorbing,hateful,shape
633,43,3,633,believe,education,earn,wait,typical
634,26,1,634,bustling,clean,rock,birds,rub
635,23,3,635,remember,announce,testy,thoughtless,five
636,48,0,636,repulsive,weary,chivalrous,hurt,year
637,43,3,637,balance,license,stupid,beneficial,flavor
638,43,4,638,dogs,hulking,enjoy,attend,dazzling
639,46,0,639,ill-fated,reproduce,mundane,deadpan,scatter
640,59,0,640,theory,army,pig,silly,protect
641,21,2,641,jog,bikes,wash,carriage,pop
642,36,3,642,teaching,fog,suspect,bruise,view
643,52,3,643,squirrel,plate,madly,adaptable,ritzy
644,38,0,644,aloof,spare,sugar,desire,different
645,30,2,645,measure,grouchy,paper,steel,animated
646,24,1,646,adjustment,challenge,nasty,riddle,record
647,48,4,647,one,victorious,request,health,sweltering
648,24,2,648,somber,suit,bag,bubble,little
649,27,1,649,rule,jolly,equable,distance,actor
650,22,4,650,bake,brake,weigh,murder,hard
651,33,0,651,witty,fumbling,innate,development,stay
652,52,2,652,colorful,subtract,afterthought,suggest,order
653,24,1,653,gullible,bleach,grape,tomatoes,broken
654,31,4,654,face,dramatic,transport,feeble,jam
655,35,4,655,request,ill,produce,screw,adjustment
656,26,3,656,yarn,nut,cute,acidic,receipt
657,32,2,657,nippy,scratch,paste,hands,introduce
658,48,1,658,metal,wandering,distance,dress,chance
659,21,4,659,pumped,long,guess,badge,step
660,23,4,660,bless,effect,snobbish,poison,pinch
661,25,3,661,allow,taboo,ship,claim,swanky
662,42,3,662,one,skin,impossible,branch,noxious
663,25,2,663,deep,frighten,stick,shame,coherent
664,27,1,664,disillusioned,nerve,pause,living,wish
665,26,4,665,joyous,tap,damp,mighty,cagey
666,41,4,666,tricky,stupid,bruise,flow,skate
667,22,0,667,abundant,achiever,brown,self,complain
668,21,0,668,calculator,unruly,island,wonder,sheet
669,49,3,669,record,nut,detail,stiff,tub
670,23,0,670,soothe,preserve,spy,superficial,pear
671,52,0,671,lethal,record,wander,try,agree
672,24,1,672,label,hurried,turn,horse,defiant
673,22,4,673,daughter,sore,curvy,puncture,exist
674,30,3,674,right,chunky,remain,arm,ceaseless
675,31,3,675,throne,miscreant,compare,beneficial,annoyed
676,27,4,676,pocket,size,TRUE,cheat,sleet
677,58,1,677,stretch,warm,thread,makeshift,profuse
678,48,3,678,question,welcome,sister,pumped,plough
679,49,2,679,idea,zany,important,settle,fire
680,23,1,680,play,ghost,fuzzy,fetch,calculate
681,27,1,681,null,thundering,frighten,damp,hill
682,53,4,682,carpenter,threatening,confuse,curvy,divide
683,44,2,683,sophisticated,return,bounce,aloof,station
684,50,1,684,weigh,difficult,knot,rare,tender
685,40,1,685,extra-small,caption,gruesome,plastic,stay
686,40,2,686,dust,power,power,note,aboard
687,55,0,687,pointless,hurry,damaged,nose,pipe
688,49,4,688,jewel,greedy,cuddly,wild,deer
689,38,1,689,upbeat,settle,shallow,parcel,wire
690,57,4,690,fish,snow,victorious,understood,pedal
691,45,0,691,dinosaurs,grease,subtract,beg,chess
692,41,2,692,rough,righteous,deserve,cabbage,flowers
693,22,3,693,functional,used,wish,willing,exist
694,22,4,694,uppity,wrench,ice,tramp,surround
695,51,4,695,nation,infamous,amount,voice,dreary
696,36,3,696,juice,vulgar,taboo,snakes,grouchy
697,35,0,697,six,volatile,maniacal,gather,pie
698,24,3,698,pan,general,polish,pleasure,question
699,35,1,699,waggish,abundant,film,foamy,parcel
700,42,3,700,well-made,gleaming,sin,grieving,cycle
701,20,0,701,cloth,step,behavior,payment,request
702,44,2,702,carry,desert,copy,signal,boorish
703,26,1,703,cloistered,sin,bone,parcel,rely
704,22,4,704,wine,untidy,untidy,naive,children
705,22,4,705,furniture,command,descriptive,rare,ill
706,51,4,706,goofy,jump,drain,oven,collar
707,32,1,707,walk,spray,wheel,dreary,hateful
708,60,4,708,bear,fluttering,black-and-white,cheese,follow
709,57,1,709,dry,flower,horrible,cabbage,colossal
710,26,3,710,knit,repeat,encourage,change,ethereal
711,25,1,711,owe,labored,file,town,unadvised
712,27,1,712,desert,workable,fast,sail,quack
713,24,4,713,grieving,fuel,quarrelsome,complex,decorous
714,23,0,714,need,girl,alleged,trick,abrupt
715,49,1,715,listen,risk,scatter,attack,boring
716,39,2,716,thought,psychedelic,magenta,piquant,tangible
717,53,0,717,society,fail,acceptable,erect,anxious
718,50,1,718,roll,pig,committee,hard-to-find,zoom
719,41,0,719,dream,efficacious,air,trashy,arm
720,59,0,720,splendid,press,dashing,wanting,uppity
721,30,1,721,force,delight,work,laborer,cherries
722,39,2,722,plant,pump,encouraging,tiny,didactic
723,53,0,723,knowing,ragged,acrid,creature,brush
724,45,2,724,ask,gaudy,halting,copper,profuse
725,37,4,725,border,playground,cause,sea,crazy
726,34,4,726,grate,statuesque,ear,slip,cross
727,52,4,727,chess,rifle,woman,bolt,extra-small
728,57,3,728,elated,vein,front,teeny,unite
729,50,1,729,hospitable,debonair,wiggly,nondescript,ray
730,34,2,730,somber,disastrous,rifle,nerve,fresh
731,59,0,731,trucks,chemical,string,soda,low
732,60,0,732,jobless,drum,trees,worthless,exercise
733,58,4,733,direful,precede,defeated,post,pickle
734,45,4,734,coil,twig,crabby,stew,jolly
735,28,0,735,volcano,note,profit,egg,turkey
736,20,0,736,title,dear,humorous,blue-eyed,worry
737,40,3,737,sincere,curve,home,throne,committee
738,35,0,738,dangerous,queue,confuse,look,sparkle
739,39,4,739,dislike,interfere,reminiscent,exercise,nosy
740,35,3,740,girl,thank,impossible,spring,rule
741,50,3,741,yell,necessary,goofy,tie,drain
742,34,4,742,knot,erratic,play,coherent,party
743,20,1,743,invent,tense,recognise,brainy,fancy
744,57,2,744,snobbish,library,subdued,playground,poke
745,41,0,745,breathe,odd,sticks,wide-eyed,level
746,58,2,746,boat,quilt,periodic,lowly,furniture
747,50,2,747,real,push,queue,balance,railway
748,33,0,748,wooden,twist,prefer,unknown,color
749,46,0,749,robust,natural,wish,seal,foolish
750,38,1,750,spoon,breathe,understood,same,shy
751,56,4,751,precede,wing,gratis,twig,burn
752,47,3,752,famous,field,unit,womanly,playground
753,26,2,753,sack,poison,undesirable,frog,doctor
754,25,3,754,lively,apparel,amazing,song,flimsy
755,55,4,755,cause,downtown,shop,punch,tame
756,36,2,756,gruesome,obeisant,attempt,sack,substance
757,35,4,757,waste,careless,suit,lie,kindhearted
758,42,1,758,sparkling,picayune,special,wasteful,ill
759,28,4,759,smile,icky,lovely,full,spicy
760,28,3,760,railway,sore,mess up,reading,owe
761,37,4,761,safe,unequal,actor,sign,vase
762,28,3,762,fax,whistle,mature,guttural,dust
763,39,0,763,furniture,ethereal,automatic,cats,cagey
764,57,2,764,meaty,letter,physical,wide,dirt
765,60,0,765,fallacious,beds,metal,tumble,cabbage
766,33,4,766,gentle,short,robin,baseball,complete
767,58,2,767,birthday,yummy,cover,woebegone,amused
768,43,0,768,wholesale,quill,pull,sleep,intend
769,30,4,769,back,drop,harm,file,bubble
770,51,1,770,evasive,vacuous,wool,wholesale,door
771,51,0,771,fog,load,boat,suit,badge
772,21,2,772,precious,communicate,cute,drown,guttural
773,46,2,773,same,cause,scattered,marked,zoom
774,25,2,774,abrasive,rightful,blushing,macabre,slap
775,42,0,775,concentrate,mate,remind,cellar,friction
776,23,0,776,sweater,crack,bells,prepare,dusty
777,58,4,777,crawl,giraffe,ten,plate,bored
778,56,3,778,distinct,straw,cause,plug,spectacular
779,25,2,779,wakeful,fax,suit,spell,quicksand
780,45,1,780,forgetful,tire,needle,rhyme,physical
781,31,3,781,front,horn,morning,well-off,hand
782,44,2,782,momentous,end,milk,aberrant,growth
783,39,1,783,useful,listen,monkey,telling,ugly
784,43,4,784,ignore,finger,waggish,actor,brother
785,48,0,785,large,ten,defective,expand,label
786,60,0,786,bedroom,equal,twig,foregoing,snail
787,37,0,787,box,tough,hateful,flower,somber
788,46,3,788,toad,toes,zinc,milk,disturbed
789,28,2,789,spray,useless,peck,slim,black
790,22,0,790,heat,belligerent,love,transport,learn
791,55,1,791,exotic,kaput,guarded,beef,measly
792,52,0,792,calculating,crash,rod,metal,voice
793,29,0,793,acoustics,disastrous,supreme,hospitable,fish
794,39,4,794,elastic,grass,rock,nervous,thinkable
795,21,4,795,exciting,humorous,earthquake,street,brown
796,53,4,796,lighten,beam,frail,hair,thin
797,43,3,797,scintillating,library,vagabond,concerned,writer
798,30,0,798,tendency,servant,handsome,pale,yoke
799,23,0,799,appear,brainy,haunt,dust,fold
800,56,3,800,exist,flippant,flimsy,precede,hammer
801,57,2,801,dad,confess,gifted,gentle,subdued
802,41,4,802,change,plants,elderly,scale,bath
803,41,2,803,strip,giraffe,bird,tall,mist
804,23,2,804,selection,yellow,cross,harass,bushes
805,54,0,805,jazzy,flowers,smoke,comparison,example
806,26,4,806,shivering,fine,gusty,moaning,feigned
807,53,0,807,gaping,tire,plug,historical,company
808,49,1,808,victorious,toy,spiders,duck,clean
809,24,2,809,murky,push,tumble,wobble,pop
810,37,0,810,head,songs,poison,unruly,hover
811,35,2,811,nosy,knock,parsimonious,acid,misty
812,29,3,812,boot,obtain,lunchroom,aboard,momentous
813,24,1,813,insidious,prefer,answer,twist,hanging
814,35,3,814,x-ray,sweltering,guarantee,puncture,recondite
815,21,4,815,sulky,hot,lunch,bite-sized,name
816,38,0,816,agonizing,boiling,absurd,corn,scene
817,43,2,817,fry,slope,gentle,card,lumpy
818,27,4,818,marble,finicky,obese,fetch,utter
819,44,3,819,frightened,subtract,rare,knee,unsuitable
820,21,1,820,trap,bizarre,comb,delay,annoying
821,40,0,821,wire,itchy,birth,treat,skirt
822,43,0,822,quiet,strong,rifle,cheese,punish
823,52,1,823,bells,trade,malicious,kittens,rightful
824,59,0,824,melodic,stream,flow,star,tumble
825,37,2,825,windy,odd,common,used,careless
826,44,3,826,salty,hand,jam,color,quartz
827,41,1,827,divergent,ethereal,analyse,gigantic,helpless
828,27,0,828,film,voice,bury,trick,dynamic
829,44,0,829,imminent,numerous,mask,statuesque,admit
830,58,0,830,fax,spotty,humorous,eager,somber
831,44,3,831,unpack,equable,smoke,trust,better
832,21,4,832,nine,smoke,festive,impossible,parcel
833,39,4,833,devilish,sable,ill-fated,lewd,vulgar
834,58,4,834,angle,mark,typical,legal,dysfunctional
835,35,1,835,pumped,healthy,popcorn,wicked,blushing
836,35,4,836,exercise,gray,receipt,swing,truthful
837,23,2,837,song,unaccountable,mix,expansion,abject
838,59,0,838,support,division,zinc,kaput,loutish
839,23,1,839,knotty,dislike,bikes,way,kiss
840,32,0,840,expensive,smash,number,waves,jealous
841,41,1,841,grip,flight,kind,silent,six
842,56,3,842,vegetable,next,eager,ultra,horses
843,22,0,843,turn,valuable,babies,burn,sack
844,56,1,844,colorful,ripe,thinkable,spiffy,snore
845,60,4,845,thread,heavenly,boiling,trip,panoramic
846,52,4,846,practise,best,quickest,lowly,weight
847,45,3,847,aboard,cycle,pastoral,fear,love
848,44,3,848,unknown,elegant,use,rob,tray
849,54,1,849,structure,industry,spring,tease,mind
850,26,4,850,include,rural,stick,earthy,butter
851,35,2,851,trouble,greedy,observe,car,wobble
852,27,4,852,living,mature,river,base,grouchy
853,28,1,853,kick,kiss,stem,hand,present
854,54,1,854,organic,top,title,veil,admit
855,34,2,855,morning,improve,summer,tickle,muddle
856,24,3,856,bomb,enthusiastic,smelly,maid,fly
857,33,1,857,puffy,military,marvelous,underwear,license
858,29,4,858,machine,creature,mess up,saw,sable
859,47,3,859,gentle,abusive,puzzling,plane,sugar
860,35,0,860,match,donkey,heady,flesh,organic
861,24,3,861,wood,cherries,maddening,obsequious,rustic
862,36,2,862,near,government,waste,range,comparison
863,47,4,863,helpful,trot,jump,box,wanting
864,55,3,864,absurd,two,rigid,acid,approve
865,39,0,865,skinny,scientific,writer,found,wilderness
866,52,4,866,fluffy,float,thinkable,classy,earthquake
867,38,4,867,stir,dispensable,exciting,permissible,fuel
868,52,3,868,puzzling,cool,nonstop,observation,learned
869,31,4,869,idiotic,inject,race,ubiquitous,blow
870,28,0,870,belligerent,sigh,mine,extra-large,soap
871,27,3,871,dapper,fire,wire,longing,squeeze
872,55,2,872,bikes,rush,maid,hapless,cast
873,35,3,873,gaping,faithful,easy,magenta,loud
874,51,4,874,purple,dinosaurs,zephyr,alert,agonizing
875,23,2,875,swanky,attack,stormy,calm,arrive
876,60,2,876,pick,clean,uncovered,idiotic,channel
877,52,0,877,voracious,receipt,gentle,doll,humorous
878,41,3,878,sloppy,join,faded,bleach,tacit
879,39,0,879,milk,trite,rightful,robin,weary
880,36,1,880,cart,harmony,cook,toe,advice
881,33,2,881,moor,mindless,library,saw,right
882,31,0,882,stitch,mine,rambunctious,drunk,arrogant
883,57,2,883,crime,likeable,erect,partner,yard
884,53,0,884,befitting,skip,bikes,scarf,babies
885,24,1,885,harbor,periodic,simple,industrious,adjoining
886,39,3,886,replace,frantic,sleep,zany,fantastic
887,32,2,887,flavor,zoo,helpless,hook,degree
888,40,2,888,bury,amusing,offer,colossal,prickly
889,59,0,889,pipe,doll,aberrant,jewel,straw
890,46,0,890,consider,highfalutin,damage,attack,cloudy
891,25,1,891,smell,show,waste,bells,somber
892,46,0,892,expect,way,pastoral,callous,wary
893,41,3,893,right,heap,crook,impulse,knee
894,55,4,894,avoid,handsomely,shiver,lick,guarded
895,45,0,895,axiomatic,nondescript,throat,dirty,cross
896,42,1,896,box,wealth,material,release,stove
897,27,4,897,breakable,corn,hideous,society,fertile
898,45,4,898,detailed,bury,gratis,unit,vacuous
899,42,4,899,egg,nasty,present,adaptable,view
900,28,1,900,preach,month,childlike,bruise,direction
901,39,2,901,limit,light,board,geese,art
902,51,2,902,jumpy,stay,iron,great,party
903,30,1,903,flat,overjoyed,whip,alike,lazy
904,29,4,904,condition,stitch,sleep,amazing,growth
905,51,1,905,puzzled,nutty,shirt,rule,joke
906,40,3,906,button,clean,pointless,brick,digestion
907,44,4,907,truck,walk,voyage,common,condition
908,52,1,908,hour,imperfect,quicksand,mix,hour
909,55,1,909,decisive,separate,overt,thumb,lacking
910,56,0,910,present,mist,nippy,soap,motion
911,34,2,911,funny,fancy,mug,tray,floor
912,50,4,912,striped,stupid,reflective,quack,meeting
913,26,2,913,request,breakable,sharp,fumbling,ethereal
914,31,0,914,left,need,charge,snails,library
915,29,0,915,sweltering,dangerous,clam,happy,fang
916,44,1,916,sour,marvelous,demonic,file,faulty
917,54,4,917,sneeze,cagey,earthy,challenge,cover
918,26,4,918,gate,jolly,winter,special,evasive
919,54,4,919,assorted,shaggy,capable,bake,machine
920,20,1,920,employ,reply,long,married,scrape
921,40,1,921,harass,ground,lacking,attractive,effect
922,57,2,922,peck,empty,fabulous,book,match
923,51,1,923,permissible,hand,homely,measure,train
924,48,0,924,sore,furniture,suck,absent,cluttered
925,21,0,925,toes,expand,dynamic,tax,empty
926,59,1,926,cute,pricey,cloudy,peel,explain
927,52,4,927,wool,brake,fool,wonder,fence
928,23,3,928,toad,sea,trust,drab,weary
929,32,1,929,book,wakeful,drag,handsome,scary
930,32,3,930,applaud,connection,pet,pass,boy
931,53,2,931,point,rhetorical,prevent,racial,truculent
932,37,1,932,coil,fold,tan,well-off,heavy
933,52,0,933,protect,fire,suggest,zoo,coast
934,24,4,934,five,iron,dysfunctional,increase,squealing
935,20,2,935,arm,mean,tense,oafish,play
936,23,3,936,tasty,slave,disagreeable,trick,approval
937,53,0,937,demonic,dirt,steam,post,thumb
938,52,0,938,disillusioned,cause,fortunate,chubby,offend
939,33,4,939,moaning,observation,elegant,nondescript,flight
940,33,1,940,page,incompetent,tested,scribble,debt
941,57,1,941,plantation,bashful,simplistic,wrong,desk
942,35,2,942,unique,diligent,mouth,filthy,lumpy
943,33,1,943,hug,stream,hideous,jump,famous
944,29,3,944,carriage,bird,key,lumber,childlike
945,32,4,945,flowery,nappy,reading,dam,stiff
946,54,2,946,pickle,hand,radiate,coherent,pink
947,26,0,947,wound,inject,print,neighborly,malicious
948,46,0,948,x-ray,bathe,employ,soup,maddening
949,59,1,949,soft,stir,debonair,hospitable,long
950,44,3,950,juice,rambunctious,poke,glistening,wholesale
951,24,2,951,knife,cook,important,reaction,round
952,20,2,952,horrible,tidy,price,slow,grade
953,58,4,953,aftermath,trains,skin,desire,ticket
954,52,2,954,tested,spot,mouth,laugh,robin
955,44,3,955,smelly,childlike,daily,cheese,terrify
956,21,3,956,debonair,bubble,horses,defective,float
957,57,0,957,dream,cough,ordinary,butter,cheer
958,38,2,958,van,reduce,impartial,long,rest
959,46,2,959,cable,secretive,resolute,advertisement,home
960,21,3,960,lamp,silver,suspect,wash,pleasure
961,36,1,961,print,mourn,snobbish,glow,wander
962,46,2,962,girl,supply,tomatoes,thirsty,paper
963,34,4,963,exist,insurance,bewildered,listen,sticks
964,29,3,964,report,macabre,hammer,future,harmony
965,28,4,965,dad,illustrious,steer,approve,frequent
966,51,2,966,collar,hulking,plants,misty,amount
967,55,2,967,wail,zoo,hateful,vein,need
968,45,2,968,bucket,callous,separate,rule,bad
969,54,4,969,carry,heal,crabby,look,ground
970,58,4,970,grade,pathetic,inexpensive,mess up,zoom
971,43,3,971,maniacal,straight,birds,cowardly,billowy
972,20,3,972,change,basket,plan,waggish,cumbersome
973,42,4,973,cute,board,hushed,attach,labored
974,40,3,974,full,shaky,spot,curve,follow
975,32,0,975,advice,arm,month,retire,heavenly
976,47,2,976,acidic,destroy,hurry,coil,plastic
977,32,3,977,pour,oven,laughable,psychotic,hospital
978,48,3,978,sticky,squeamish,deep,short,infamous
979,42,1,979,annoyed,undress,exist,unbiased,ticket
980,21,0,980,wry,strip,reaction,year,tiger
981,45,3,981,crawl,base,library,smiling,curly
982,25,0,982,scent,imperfect,scale,flagrant,protect
983,57,1,983,window,carry,stain,car,romantic
984,24,2,984,coherent,turkey,bat,dramatic,soothe
985,46,1,985,duck,test,fix,force,blind
986,28,1,986,rabbit,gray,tree,spoon,fortunate
987,37,4,987,impossible,moldy,country,functional,moan
988,45,0,988,amusement,thundering,uneven,summer,crib
989,54,1,989,spoil,cemetery,medical,nervous,statuesque
990,31,4,990,bubble,sort,rhetorical,shape,poised
991,58,1,991,tacky,literate,calculator,receipt,expert
992,60,3,992,magenta,art,damaging,harbor,crowd
993,32,0,993,absorbing,rock,furniture,stone,learned
994,23,1,994,black-and-white,shivering,fortunate,dependent,finger
995,30,4,995,system,painstaking,hot,can,house
996,54,2,996,scattered,short,waste,drum,fortunate
997,58,0,997,satisfying,ruddy,locket,tame,longing
998,36,0,998,rely,connection,educate,dress,gamy
999,48,1,999,tug,permit,alluring,adorable,invincible
1000,58,0,1000,sad,interrupt,unbecoming,wing,beam
